Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,,,,,Origins,,,,,,
Northern Lights #5,00031,,X,,X,,,,,5,4,,,,,5,3,,5,,,,5,4,4,,,,,,,,,3,4,,2.9,0.2,1.6,0.1,1.2,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Afghani,,,,,,
707 Headband,00032,,,X,X,,,,,5,3,,,3,,4,,,4,,,,5,4,3,,,,,3,,,,,2,,1.5,0.6,0.3,0.4,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,"Sour Diesel,
OG Kush,
Master Kush",,,,,,
White Rhino,00033,,X,,X,,,,,4,3,,,,,5,3,,3,,,,5,4,4,,,,,3,,,,,4,,1.6,0.2,0.1,0.7,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,"White Widow,
North American Indica",,,,,,
South Indian Sativa,00034,X,,,X,,,,,3,,,5,5,,3,,,4,,,,5,,4,,,2,,,3,3,,,,,2.3,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North American Indica,00035,,X,,X,,,,,,4,,,,6,6,5,,,,,5,,4,6,4,,,,4,,,,,6,,2.5,,,,2.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,
White Widow,00036,,,X,X,,,,,5,4,,,3,,4,,,5,,,,5,4,3,,,,,,,,,2,1,0.2,1.8,0.4,,0.5,1.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,"South American Sativa,
South Indian Indica",,,,,,
South American Sativa,00037,X,,,X,,,,,6,,,5,5,,,,,5,,,,,1,,,,1,,4,,1,,,4,1.9,2.4,2.4,,2.4,2.4,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
South Indian Indica,00038,,X,,X,,,,,3,2,,,,,5,,,1,,,,2,1,,,,,,,,,,1,,,0.5,0.1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDC,00039,,,X,X,,,,,4,3,,,,3,5,,,2,,,,5,4,5,,,4,,,3,,,,,0.2,0.9,,0.9,0.6,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,Cannatonic,,,,,,
Zeta Sage,00040,X,,,X,,,,,5,4,,4,3,,5,,,,,,,4,4,3,,,3,3,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,"OG Kush,
Sage",,,,,,
