Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,Origins
Trainwreck,00020,,,X,X,,,,,5,4,,,3,,4,,,4,,,,5,4,4,,,,,,,,,2,3,,1.5,0.3,0.2,0.5,1.3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,"Mexican,
Thai,
Afghani"
Aberdeen,00021,,,X,X,,,,,2,,,,5,,2,,,4,,,4,,5,,,5,4,,4,,,,4,,,1,,,,1,,,,,1,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,"Orange Velvet,
Jack The Ripper"
Orange Velvet,00022,,,X,X,,,,,5,5,5,,,,5,,,4,,,,5,3,2,,,,,,2,,,2,,0.4,1.1,0.2,,0.3,0.3,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,Skunk No. 1
Jack The Ripper,00023,X,,,X,,,,,5,4,,3,,,4,,,5,,,,5,4,3,3,,,,,,,,,2,,1.9,0.4,0.3,0.2,0.7,,,,,,,,,,,3,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jack's Cleaner,
Space Queen"
Jack's Cleaner,00024,X,,,X,,,,,4,4,,5,,5,,,4,,,,,2,5,4,3,,,3,,,,,,,,1.7,0.4,0.2,0.3,1.2,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,Jack Herer
Space Queen,00025,,,X,X,,,,,4,4,,,3,,4,,,5,,,,5,4,3,,2,,,2,,,,,,,2.1,0.4,0.2,0.6,1.6,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,"Romulan,
Cinderella 99"
Jack Herer,00026,X,,,X,,,,,5,5,,4,3,,,,,3,,,,5,4,3,2,2,,,,,,,,,0.2,2.1,0.4,,0.4,1.6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,"Haze,
Shiva Skunk,
Northern Lights #5"
Romulan,00027,,X,,X,,,,,4,2,,,,,5,4,,3,,,,5,3,5,,,,,2,,,,,4,,2.4,0.2,0.2,0.8,1.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,"North American Indica,
White Rhino"
Cinderella 99,00028,,,X,X,,,,,5,5,,3,4,,,,,3,,,,5,4,3,3,2,,,,,,,,,0.2,2,0.5,,1.5,1,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Jack Herer,
Shiva Skunk"
Haze,00029,X,,,X,,,,,5,3,,3,,,3,,,4,,,,5,4,3,3,,,,,,,,3,,0.6,2.5,2.1,,0.9,0.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,"South American,
Thai,
Mexican,
South Indian Sativa"
